,district,town,unit_price
0,徐汇,建国西路,11.6183185277
1,黄浦,新天地,11.4479018859
2,静安,南京西路,10.999669838
3,徐汇,衡山路,10.6941398217
4,黄浦,南京东路,10.0640752874
5,黄浦,淮海中路,9.97160087218
6,静安,江宁路,9.63728609835
7,黄浦,人民广场,9.5511095869
8,黄浦,世博滨江,9.5062215128
9,静安,曹家渡,9.49389158059
10,浦东,联洋,9.40947081149
11,徐汇,徐汇滨江,9.40895779871
12,黄浦,蓬莱公园,9.34742894291
13,浦东,碧云,9.29836409609
14,黄浦,黄浦滨江,9.28653545808
15,浦东,潍坊,9.24534631778
16,黄浦,豫园,9.15193180054
17,黄浦,老西门,9.088369008
18,浦东,陆家嘴,9.06158343676
19,黄浦,董家渡,9.01634920885
20,静安,静安寺,8.97624120777
21,浦东,源深,8.85755536755
22,徐汇,徐家汇,8.78935442431
23,黄浦,五里桥,8.6916729359
24,长宁,镇宁路,8.61734417291
25,长宁,古北,8.60911077032
26,虹口,临平路,8.5418100098
27,黄浦,打浦桥,8.52422190619
28,长宁,天山,8.52137412379
29,浦东,杨东,8.46044077861
30,闸北,大宁,8.09843551137
31,普陀,长寿路,8.08749794746
32,杨浦,新江湾城,8.08556176655
33,浦东,花木,8.04674820384
34,虹口,北外滩,7.91864051084
35,虹口,鲁迅公园,7.91214965576
36,徐汇,斜土路,7.68916587431
37,普陀,武宁,7.57160225911
38,浦东,洋泾,7.56056007425
39,长宁,中山公园,7.54186817349
40,虹口,曲阳,7.52083733968
41,徐汇,万体馆,7.51379646917
42,松江,佘山,7.47288410624
43,徐汇,龙华,7.45676105504
44,闸北,西藏北路,7.43567859059
45,长宁,新华路,7.33477440498
46,徐汇,田林,7.31684250474
47,杨浦,鞍山,7.3089686517
48,徐汇,漕河泾,7.24951572715
49,普陀,中远两湾城,7.22163910517
50,长宁,虹桥,7.21720539368
51,虹口,四川北路,7.18712137742
52,浦东,塘桥,7.07284003333
53,闸北,闸北公园,7.06931402017
54,杨浦,东外滩,7.01525998805
55,徐汇,康健,6.990456764
56,闵行,春申,6.97176436192
57,闸北,不夜城,6.96189610386
58,普陀,万里,6.83179448533
59,杨浦,黄兴公园,6.79666572601
60,杨浦,周家嘴路,6.78481327819
61,杨浦,五角场,6.78021817721
62,长宁,西郊,6.75384213663
63,长宁,仙霞,6.75335991732
64,闵行,金汇,6.71521708947
65,杨浦,控江路,6.71237994975
66,浦东,北蔡,6.63782577832
67,闸北,阳城,6.62876690675
68,虹口,凉城,6.58666904402
69,普陀,长征,6.58601754815
70,浦东,金杨,6.57720370463
71,普陀,曹杨,6.54022315866
72,普陀,长风,6.50510145559
73,浦东,张江,6.5031255412
74,长宁,北新泾,6.39371874409
75,浦东,三林,6.39025047048
76,徐汇,上海南站,6.3899311158
77,普陀,真如,6.37559562204
78,普陀,光新,6.37272951085
79,徐汇,植物园,6.33473344935
80,浦东,世博,6.32965557615
81,闵行,古美,6.18014210993
82,浦东,南码头,6.14241453129
83,闵行,静安新城,6.13130322981
84,闵行,金虹桥,6.11622922604
85,宝山,共康,6.08679257918
86,徐汇,华东理工,6.035837523
87,浦东,金桥,6.02606234617
88,虹口,江湾镇,5.9984741761
89,闸北,永和,5.95307649253
90,浦东,御桥,5.95199385562
91,宝山,大华,5.93683824929
92,闵行,七宝,5.93357240475
93,闵行,莘庄,5.83676132568
94,闵行,龙柏,5.83174100921
95,闵行,梅陇,5.69827517144
96,普陀,甘泉宜川,5.67981606953
97,杨浦,中原,5.63711725164
98,宝山,高境,5.57602546145
99,浦东,高行,5.50555087185
100,闸北,彭浦,5.47032169865
101,宝山,张庙,5.34133491711
102,嘉定,丰庄,5.26143570378
103,普陀,真光,5.227463547
104,浦东,唐镇,5.20568486601
105,闵行,航华,5.14809742949
106,闵行,浦江,5.09121629881
107,宝山,淞南,5.00041521476
108,闵行,华漕,5.0
109,宝山,通河,4.99801538953
110,普陀,桃浦,4.95707108941
111,浦东,周浦,4.93048372878
112,宝山,大场镇,4.90434997273
113,宝山,上大,4.8476553154
114,宝山,顾村,4.7493837343
115,松江,松江大学城,4.64919838038
116,浦东,高东,4.6100784105
117,松江,九亭,4.60573185348
118,嘉定,江桥,4.60071860511
119,闵行,颛桥,4.56734487309
120,宝山,淞宝,4.55958158732
121,青浦,徐泾,4.53047005685
122,浦东,康桥,4.45205479452
123,嘉定,南翔,4.42555198565
124,宝山,共富,4.38450797172
125,浦东,曹路,4.37830369443
126,松江,莘闵别墅,4.36149580354
127,宝山,杨行,4.34496810832
128,浦东,外高桥,4.27486401296
129,浦东,川沙,4.22421873603
130,宝山,月浦,4.10873139289
131,青浦,赵巷,4.09843109628
132,嘉定,嘉定新城,4.074983408
133,闵行,老闵行,4.06648710863
134,闵行,吴泾,4.01115508733
135,宝山,罗店,3.88388874951
136,松江,泗泾,3.83868290275
137,松江,松江新城,3.77090732284
138,嘉定,菊园新区,3.70668530495
139,松江,松江老城,3.68691804039
140,闵行,马桥,3.51550090472
141,青浦,夏阳,3.48360613087
142,青浦,盈浦,3.44920048674
143,奉贤,西渡,3.41205333308
144,嘉定,嘉定老城,3.38067848937
145,浦东,惠南,3.25265878045
146,嘉定,安亭,3.21958309703
147,嘉定,新成路,3.03097426236
148,浦东,新场,3.01303823819
149,奉贤,南桥,2.96145100876
150,浦东,航头,2.78771302335
151,浦东,泥城镇,2.5389025389
152,奉贤,奉城,1.91176470588
153,奉贤,柘林,1.59392789374
